Acronym,FullName,Organization,Id
3DIM,"3-D Digital Imaging and Modeling, International Conference on",IEEE,0
3DPVT,"3D Data Processing Visualization and Transmission, International Symposium on",IEEE,1
3DTV-CON,"3DTV-Conference: The True Vision - Capture, Transmission and Display of 3D Video",IEEE,2
3DUI,"3D User Interfaces, IEEE Symposium on",IEEE,3
AAA IDEA,"Advanced Architectures and Algorithms for Internet Delivery and Applications,2005 1st International Workshop on",IEEE,4
ACC,American Control Conference,IEEE,5
ACCESSNETS,"Access Networks & Workshops, International Conference on",IEEE,6
ACEMP,"Electrical Machines and Power Electronics, International Aegean Conference on",IEEE,7
ACHI,"Advances in Computer-Human Interaction, First International Conference on",IEEE,8
ACOM,"Assessment of Contemporary Modularization Techniques, First International Workshop on",IEEE,9
ACSAC,Computer Security Applications Conference,IEEE,10
ACSD,"Application of Concurrency to System Design, International Conference on",IEEE,11
ACSSC,"Signals, Systems and Computers, Conference Record of the Asilomar Conference on",IEEE,12
ADCOM,"Advanced Computing and Communications, International Conference on",IEEE,13
ADPRL,"Approximate Dynamic Programming and Reinforcement Learning, IEEE International Symposium on",IEEE,14
ADVCOMP,"Advanced Engineering Computing and Applications in Sciences, International Conference on",IEEE,15
AE,"Applied Electronics, International Conference on",IEEE,16
AEMC,"Applied Electromagnetics Conference, IEEE",IEEE,17
AFRICON,Africon,IEEE,18
AGEC,"Asian Green Electronics -Design for Manufacturability and Reliability, International Conference on",IEEE,19
AGILE,AGILE,IEEE,20
AHS,"Adaptive Hardware and Systems, NASA/ESA Conference on",IEEE,21
AICCSA,"Computer Systems and Applications, IEEE/ACS International Conference on",IEEE,22
AICT,"Telecommunications (AICT), Advanced International Conference on",IEEE,23
AIM,"Advanced Intelligent Mechatronics, IEEE/ASME International Conference on",IEEE,24
AINA,"Advanced Information Networking and Applications AINA,Proceedings International Conference on",IEEE,25
AINA Workshops,"Advanced Information Networking and Applications Workshops, IEEE International Conference on",IEEE,26
AIPR,"Applied Image Pattern Recognition Workshop, 35th IEEE",IEEE,27
AISPC,"Student Paper Conference, Annual IEEE",IEEE,28
