Acronym,Publication Title
3DIM,"3-D Digital Imaging and Modeling, International Conference on"
3DPVT,"3D Data Processing Visualization and Transmission, International Symposium on"
3DTV-CON,"3DTV-Conference: The True Vision - Capture, Transmission and Display of 3D Video"
3DUI,"3D User Interfaces, IEEE Symposium on"
AAA IDEA,"Advanced Architectures and Algorithms for Internet Delivery and Applications,2005 1st International Workshop on"
ACC,American Control Conference
ACCESSNETS,"Access Networks & Workshops, International Conference on"
ACEMP,"Electrical Machines and Power Electronics, International Aegean Conference on"
ACHI,"Advances in Computer-Human Interaction, First International Conference on"
ACOM,"Assessment of Contemporary Modularization Techniques, First International Workshop on"
ACSAC,Computer Security Applications Conference
ACSD,"Application of Concurrency to System Design, International Conference on"
ACSSC,"Signals, Systems and Computers, Conference Record of the Asilomar Conference on"
ADCOM,"Advanced Computing and Communications, International Conference on"
ADPRL,"Approximate Dynamic Programming and Reinforcement Learning, IEEE International Symposium on"
ADVCOMP,"Advanced Engineering Computing and Applications in Sciences, International Conference on"
AE,"Applied Electronics, International Conference on"
AEMC,"Applied Electromagnetics Conference, IEEE"
AFRICON,Africon
AGEC,"Asian Green Electronics -Design for Manufacturability and Reliability, International Conference on"
AGILE,AGILE
AHS,"Adaptive Hardware and Systems, NASA/ESA Conference on"
AICCSA,"Computer Systems and Applications, IEEE/ACS International Conference on"
AICT,"Telecommunications (AICT), Advanced International Conference on"
AIM,"Advanced Intelligent Mechatronics, IEEE/ASME International Conference on"
AINA,"Advanced Information Networking and Applications AINA,Proceedings International Conference on"
AINA Workshops,"Advanced Information Networking and Applications Workshops, IEEE International Conference on"
AIPR,"Applied Image Pattern Recognition Workshop, 35th IEEE"
AISPC,"Student Paper Conference, Annual IEEE"
ALife,"Artificial Life, IEEE Symposium on"
ALPIT,"Advanced Language Processing and Web Information Technology, International Conference on"
AMC,"Advanced Motion Control, IEEE International Workshop on"
AMS,"Modeling and Simulation, Asia International Conference on"
AMT,"Active Media Technology, International Conference on"
AMUEM,"Advanced Methods for Uncertainty Estimation in Measurement, IEEE International Workshop on"
ANSS,"Simulation Symposium, Annual"
ANTS,"Advanced Networks and Telecommunication Systems, International Symposium on"
AOE,"Optical Fiber Communication and Optoelectronics Conference, Proceedings of the Asia"
APACE,"Applied Electromagnetics, Asia-Pacific Conference on"
APCC,"Communications, Asia-Pacific Conference on"
APCCAS,"Circuits and Systems, IEEE Asia Pacific Conference on"
APEC,"Applied Power Electronics Conference and Exposition, IEEE"
APEDE,"Actual Problems of Electron Devices Engineering, International Conference on"
APEIE,"Actual Problems of Electronic Instrument Engineering, International Conference on"
APEMC,"Electromagnetic Compatibility and International Zurich Symposium on Electromagnetic Compatibility, Asia-Pacific Symp on"
APM,"Advanced Packaging Materials: Processes, Properties and Interface, International Symposium on"
APMC,"Microwave Conference, Asia Pacific"
APMRC,"Magnetic Recording Conference, Asia Pacific"
AP-MWP,"Microwave Photonics, International Topical Meeting on (MWP) & Microwave Photonics Conference, 2008 Asia-Pacific (AP-MWP)"
APOS,"Optical Fiber Sensors Conference, Asia-Pacific"
APSAR,"Synthetic Aperture Radar, Asian and Pacific Conference on"
APSCC,"Asia-Pacific Services Computing Conference, IEEE"
APSEC,"Software Engineering Conference, Asia Pacific"
APSITT,"Information and Telecommunication Technologies, Asia-Pacific Symposium on"
APVIS,"Visualization (APVIS), International Asia-Pacific Symposium on"
AQTR,"Automation, Quality and Testing, Robotics, IEEE International Conference on"
ARES,"Availability Reliability and Security, International Conference on"
ARFTG,ARFTG Conference
ARITH,"Computer Arithmetic, IEEE Symposium on"
ARSO,"Advanced Robotics and its Social Impacts, IEEE Workshop on"
ASAP,Application-Specific Systems Architecture and Processors
ASDAM,"Advanced Semiconductor Devices and Microsystems, International Conference on"
ASE,"Automated Software Engineering, IEEE/ACM International Conference on"
ASIC,"ASIC, International Conference on"
ASICON,"ASIC,  International Conference on"
ASID,"Anti-counterfeiting, Security and Identification, International Workshop on"
ASILOMAR,"Signals, Systems and Computers, Asilomar Conference on"
ASMC,"Advanced Semiconductor Manufacturing Conference, IEEE/SEMI"
ASMS,Advanced Satellite Mobile Systems Conference
ASPCC,"Computing Conference, IEEE Asia-Pacific Services"
ASP-DAC,"Design Automation Conference, Asia and South Pacific"
ASRU,"Automatic Speech Recognition & Understanding, IEEE Workshop on"
ASSCC,"Solid-State Circuits Conference, 2005 Asian"
A-SSCC,"Solid-State Circuits Conference, IEEE Asian"
AST,"Automation of Software Test, International Workshop on"
ASWEC,"Software Engineering Conference, Australian"
ASYNC,"Asynchronous Circuits and Systems, IEEE International Symposium on"
ATLC,"Science, Technology and Innovation Policy, Atlanta Conference on"
ATM,"High Performance Switching and Routing, Workshop on"
ATNAC,"Telecommunication Networks and Applications Conference, Australasian"
ATS,"Asian Test Symposium, IEEE"
AUPEC,"Power Engineering, Australasian Universities"
AuRE,"Automotive Requirements Engineering Workshop, International"
AUSC,"Communication Theory Workshop, Australian"
AUSCTW,"Communications Theory Workshop, Australian"
AusWireless,"Wireless Broadband and Ultra Wideband Communications, Australian Conference on"
AUTOID,"Automatic Identification Advanced Technologies, IEEE Workshop on"
AUTOTESTCON,"Autotestcon, IEEE"
AVFOP,"Avionics, Fiber-Optics and Photonics Technology Conference, IEEE"
AVSS,"Advanced Video and Signal Based Surveillance, IEEE Conference on"
AXEDIS,"Automated Production of Cross Media, International Conference on"
AXMEDIS,"Automated Production of Cross Media Content for Multi-Channel Distribution, International Conference on"
BALTIC,"Baltic International Symposium, 2008 IEEE/OES US/EU-"
BBEurope,"Broadband Europe, 2007"
BCN,"Broadband Convergence Networks, 2006 1st IEEE International Workshop on"
BCTM,"Bipolar/BiCMOS Circuits and Technology Meeting, 2006 IEEE"
BDIM,"Business-Driven IT Management, 2007 2nd IEEE/IFIP International Workshop on"
BEC,"Baltic Electronics Conference, 2006 International Biennal"
BIBE,"Bioinformatics and BioEngineering, 2006 6th IEEE International Symposium on"
BIBM,"Bioinformatics and Biomedicine (BIBM), 2007 IEEE International Conference on"
BIBM wkshp,"Bioinformatics and Biomedicine Workshops, 2007 IEEE International Conference on"
BioCAS,"Biomedical Circuits and Systems Conference, 2006 IEEE"
BIOROB,"Biomedical Robotics and Biomechatronics, 2006 1st IEEE RAS & EMBS Intl Conf on"
BIOTECHNO,"Biocomputation, Bioinformatics, and Biomedical Technologies BIOTECHNO, 2008 International Conference on"
BLISS,"Bio-inspired Learning and Intelligent Systems for Security, 2007 ECSIS Symposium on"
BMAS,"Behavioral Modeling and Simulation Workshop,2005 IEEE International"
BMEI,"Biomedical Engineering And Informatics, 2008 International Conference On"
BNCOD,"Databases (BNCOD), 2007 Workshops of the 24th British National Conference on"
BROADNETS,"Broadband Communications, Networks & Systems, 2007 Fourth International Conference on"
BSN,"Wearable & Implantable Body Sensor Networks Conference (BSN), 2006"
BTAS,"Biometrics: Theory, Applications and Systems, 2007 First IEEE International Conference on"
C5,"Creating Connecting and Collaborating through Computing (C5), 2006 4th International Conference on"
CACSD,"Computer-Aided Control Systems Design, 2006 IEEE Conference on"
CADSM,"The Experience of Designing and Application of CAD Systems in Microelectronics, 2007 Proceedings of the 9th Intl Conf"
CAIDC,"Computer-Aided Industrial Design and Conceptual Design, 2006 7th International Conference on"
CAMAD,"Computer-Aided Modeling, Analysis and Design of Communication Links and Networks, 2006 11th International Workshop on"
CAMP,"Computer Architecture for Machine Perception and Sensing, 2006 International Workshop on"
CAMPSAP,"Computational Advances in Multi-Sensor Adaptive Processing, 2007 2nd IEEE International Workshop on"
CAOL,"Advanced Optoelectronics and Lasers, 2005 International Conference on"
CAS,"Semiconductor Conference, 2007 International"
CASE,"Automation Science and Engineering, 2007 IEEE International Conference on"
CBMI,"Content-Based Multimedia Indexing, 2007 International Workshop on"
CBMS,"Computer-Based Medical Systems (CBMS), 2006 Proceedings 19th IEEE International Symposium on"
CCA,"Control Applications, Proceedings of the 2006 IEEE International Conference on"
CCC,"Control Conference, 2006 Chinese "
CCDC,"Control and Decision Conference, 2008 Chinese"
CCECD,"Electrical and Computer Engineering, 2007 Canadian Conference on"
CCECE,"Electrical and Computer Engineering, 2005 Canadian Conference on"
CCGRID,"Cluster Computing and the Grid (CCGrid), 2006 6th IEEE International Symposium on"
CCNC,"Consumer Communications and Networking Conference, 2007 4th IEEE"
CDC,"Decision and Control, Proceedings of the 45th IEEE Conference on"
CDE,"Electron Devices, 2007 Spanish Conference on"
